"KEY","CLASS","p_trend","COD","AIC","BIC","df","LAG","SUM_rows","SUM_cols","coef1"
"199-D8-54B","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D8-6","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D8-69","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D8-70","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D8-71","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D8-72","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D8-73","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D8-88","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D8-89","Trend_Summary",0,NA,NA,NA,186,10,4,4,96.923513711097
"199-D8-90","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D8-91","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D8-93","Trend_Summary",0.0608789564042709,NA,NA,NA,11,1,4,4,-57.5864303639824
"199-D8-94","Trend_Summary",0.00726273315034076,NA,NA,NA,10,1,4,4,-96.7178360691504
"199-D8-95","Trend_Summary",0,NA,NA,NA,254,19,4,4,56.2539593512886
"199-D8-96","Trend_Summary",0,NA,NA,NA,189,18,4,4,40.2234327664693
"199-D8-97","Trend_Summary",0,NA,NA,NA,194,11,4,4,20.4503012156239
"199-D8-98","Trend_Summary",0,NA,NA,NA,177,19,4,4,35.4702396037198
"199-D8-99","Trend_Summary",5.10347604977257e-05,NA,NA,NA,100,28,4,4,-31.432540265531
"199-H1-1","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-H1-2","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-H1-35","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-H1-36","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-H1-37","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-H1-38","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-H1-4","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-H1-40","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-H1-42","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-H1-43","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-H1-45","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-H1-46","Trend_Summary",0,NA,NA,NA,97,10,4,4,61.6581885073139
"199-H1-47","Trend_Summary",0.000100644523977733,NA,NA,NA,59,83,4,4,31.758797272855
"199-H1-48","Trend_Summary",1.23498667958799e-08,NA,NA,NA,56,24,4,4,-16.4928192956066
"199-H1-49","Trend_Summary",0.000120578610126265,NA,NA,NA,72,0,4,4,22.9139204141987
"199-H1-50","Trend_Summary",0.366846725369663,NA,NA,NA,12,14,4,4,-6.49512842088714
"199-H1-51","Trend_Summary",0.0245928754050471,NA,NA,NA,35,88,4,4,33.0866846499457
"199-H1-7","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-H2-1","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-H3-10","Trend_Summary",0.258904121156333,NA,NA,NA,22,25,4,4,-3.32900568779187
"199-H3-11","Trend_Summary",0.0211386558636976,NA,NA,NA,8,80,4,4,-15.4627665132345
"199-H3-12","Trend_Summary",1.58839608133121e-11,NA,NA,NA,9,13,4,4,11.0945174303141
"199-H3-13","Trend_Summary",0.000257141732759036,NA,NA,NA,10,10,4,4,62.2666899168812
"199-H3-15","Trend_Summary",0.120950085966498,NA,NA,NA,4,0,4,4,57.2131914427652
"199-H3-21","Trend_Summary",5.10875506898323e-07,NA,NA,NA,34,8,4,4,44.700126626362
"199-H3-22","Trend_Summary",0,NA,NA,NA,66,88,4,4,10.2777679061881
"199-H3-25","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-H3-26","Trend_Summary",0.00597073732855102,NA,NA,NA,46,43,4,4,41.6712279114635
"199-H3-28","Trend_Summary",1.66533453693773e-15,NA,NA,NA,80,68,4,4,2.27232647306439
"199-H3-29","Trend_Summary",0,NA,NA,NA,87,79,4,4,13.8728685876596
"199-H3-2A","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-H3-2C","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-H3-3","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-H3-30","Trend_Summary",0.134392762638046,NA,NA,NA,10,0,4,4,-7.48343672215606
"199-H3-31","Trend_Summary",0.922584071656062,NA,NA,NA,4,8,4,4,7.77887040639262
"199-H3-32","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-H3-33","Trend_Summary",0,NA,NA,NA,42,8,4,4,14.7716685741718
"199-H3-34","Trend_Summary",0.403888371549847,NA,NA,NA,4,28,4,4,-53.4767245000614
"199-H3-35","Trend_Summary",8.22418590304963e-05,NA,NA,NA,30,64,4,4,-8.72381090402776
"199-H3-36","Trend_Summary",0.00185934350273953,NA,NA,NA,30,75,4,4,63.47976044183
"199-H3-37","Trend_Summary",0.000120123255796023,NA,NA,NA,28,0,4,4,9.36955416439555
"199-H3-38","Trend_Summary",0.00168565254311293,NA,NA,NA,30,37,4,4,1.81927996188755
"199-H3-39","Trend_Summary",0.352272341245538,NA,NA,NA,27,28,4,4,-0.115879425823849
"199-H3-5","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-H3-6","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-H3-9","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-H4-10","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-H4-11","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-H4-12A","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-H4-12B","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-H4-12C","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-H4-13","Trend_Summary",0.00192374633326275,NA,NA,NA,45,0,4,4,43.0828260930176
"199-H4-15A","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-H4-15CP","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-H4-15CR","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-H4-15CS","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-H4-16","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-H4-17","Trend_Summary",NA,NA,NA,NA,NA,NA,1,1,NA
"199-H4-18","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-H4-4","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-H4-45","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-H4-46","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-H4-49","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-H4-5","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-H4-63","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-H4-64","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-H4-65","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-H4-69","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-H4-70","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-H4-71","Trend_Summary",NA,NA,NA,NA,NA,NA,1,1,NA
"199-H4-72","Trend_Summary",NA,NA,NA,NA,NA,NA,1,1,NA
"199-H4-73","Trend_Summary",NA,NA,NA,NA,NA,NA,1,1,NA
"199-H4-74","Trend_Summary",2.10711448289658e-11,NA,NA,NA,60,85,4,4,-10.9581896804526
"199-H4-75","Trend_Summary",0,NA,NA,NA,187,23,4,4,22.0568973292205
"199-H4-76","Trend_Summary",0,NA,NA,NA,135,90,4,4,12.4151168180199
"199-H4-8","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-H4-81","Trend_Summary",0,NA,NA,NA,184,79,4,4,12.7375848385795
"199-H4-83","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-H4-84","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-H4-85","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-H4-86","Trend_Summary",4.26496502670126e-07,NA,NA,NA,102,54,4,4,-2.98261624634021
"199-H4-87","Trend_Summary",0.092473037191067,NA,NA,NA,20,55,4,4,-27.452271350286
"199-H4-88","Trend_Summary",1.08097852070665e-05,NA,NA,NA,49,11,4,4,-21.9839261937306
"199-H4-89","Trend_Summary",0.396351419167918,NA,NA,NA,29,9,4,4,0.896728914889243
"199-H4-90","Trend_Summary",0.000285828780720365,NA,NA,NA,23,21,4,4,-14.4513906819122
"199-H4-91","Trend_Summary",2.53893938791938e-05,NA,NA,NA,23,7,4,4,6.43589615774054
"199-H4-92","Trend_Summary",4.43715958531321e-07,NA,NA,NA,109,80,4,4,30.8170972927273
"199-H4-93","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-H4-94","Trend_Summary",NA,NA,NA,NA,NA,NA,1,1,NA
"199-H4-95","Trend_Summary",NA,NA,NA,NA,NA,NA,1,1,NA
"199-H5-16","Trend_Summary",7.5091456131271e-05,NA,NA,NA,107,31,4,4,15.422346400856
"199-H5-1A","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-H6-3","Trend_Summary",0.0210648118726399,NA,NA,NA,15,34,4,4,40.5710442614927
"199-H6-9","Trend_Summary",0.365672420202685,NA,NA,NA,4,37,4,4,-121.283745198186
"199-H7-1","Trend_Summary",0.00382653340740058,NA,NA,NA,8,19,4,4,0.606652849213938
"199-K-107A","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-108A","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-11","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-111A","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-113A","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-114A","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-115A","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-116A","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-117A","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-118A","Trend_Summary",NA,NA,NA,NA,NA,NA,1,1,NA
"199-K-119A","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-120A","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-125A","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-126","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-127","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-129","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-130","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-131","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-132","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-137","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-138","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-139","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-140","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-141","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-142","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-144","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-145","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-146","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-147","Trend_Summary",0,NA,NA,NA,253,61,4,4,17.4044028238916
"199-K-148","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-152","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-153","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-154","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-157","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-159","Trend_Summary",0.00213615945149748,NA,NA,NA,18,10,4,4,-22.9845807872402
"199-K-160","Trend_Summary",0.000182030096114172,NA,NA,NA,10,9,4,4,-40.1766814141167
"199-K-161","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-162","Trend_Summary",0,NA,NA,NA,250,18,4,4,35.1008837787332
"199-K-163","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-165","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-166","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-168","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-171","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-174","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-175","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-178","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-18","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-181","Trend_Summary",5.32762722826874e-12,NA,NA,NA,73,1,4,4,-3.11448657324519
"199-K-182","Trend_Summary",0,NA,NA,NA,161,50,4,4,3.22934433685418
"199-K-183","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-184","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-185","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-187","Trend_Summary",0.983319812739358,NA,NA,NA,28,0,3,4,1.44208732314745
"199-K-188","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-189","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-19","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-190","Trend_Summary",0,NA,NA,NA,42,7,4,4,5.24056654930678
"199-K-191","Trend_Summary",4.73714438862238e-05,NA,NA,NA,28,0,3,4,5.96573049755489
"199-K-192","Trend_Summary",0.0453802636551308,NA,NA,NA,26,0,3,4,0.152660023929326
"199-K-193","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-194","Trend_Summary",2.82101619863973e-06,NA,NA,NA,26,0,3,4,7.68692281781271
"199-K-196","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-197","Trend_Summary",9.18695363005817e-07,NA,NA,NA,21,10,4,4,-24.904129180406
"199-K-198","Trend_Summary",5.26892427799019e-07,NA,NA,NA,150,2,4,4,0.265648330315909
"199-K-199","Trend_Summary",2.35976738149901e-09,NA,NA,NA,146,72,4,4,1.38111678837801
"199-K-20","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-200","Trend_Summary",2.0556737423405e-09,NA,NA,NA,42,42,4,4,0.599989874175569
"199-K-201","Trend_Summary",0,NA,NA,NA,42,10,4,4,19.4386194801753
"199-K-202","Trend_Summary",0.00144541200683856,NA,NA,NA,29,21,4,4,-12.9107167485665
"199-K-203","Trend_Summary",0.686886315867959,NA,NA,NA,27,44,4,4,8.28271810658823
"199-K-204","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-205","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-206","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-207","Trend_Summary",2.87209085403362e-08,NA,NA,NA,26,32,4,4,22.0740673796445
"199-K-208","Trend_Summary",2.47840103995145e-09,NA,NA,NA,92,7,4,4,20.6902270690174
"199-K-209","Trend_Summary",0.624022463424119,NA,NA,NA,11,78,4,4,4.95899547580175
"199-K-21","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-210","Trend_Summary",0,NA,NA,NA,124,85,4,4,13.0871861153328
"199-K-212","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-22","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-220","Trend_Summary",0,NA,NA,NA,431,89,4,4,9.73825453707837
"199-K-221","Trend_Summary",0.936771879083307,NA,NA,NA,27,46,4,4,-1.34452881326956
"199-K-222","Trend_Summary",0.600917055077923,NA,NA,NA,23,49,4,4,-11.1463642643026
"199-K-223","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-224","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-225","Trend_Summary",0.00272497968511465,NA,NA,NA,31,47,4,4,12.9229690393505
"199-K-226","Trend_Summary",0,NA,NA,NA,101,71,4,4,20.5801628055927
"199-K-227","Trend_Summary",0.000554594117123886,NA,NA,NA,17,28,4,4,60.725119124929
"199-K-228","Trend_Summary",0.0912546342439831,NA,NA,NA,17,46,4,4,10.3299331074713
"199-K-229","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-230","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-231","Trend_Summary",0.00187282320354554,NA,NA,NA,14,34,4,4,15.2914746336314
"199-K-232","Trend_Summary",0.0183442222894612,NA,NA,NA,14,12,4,4,16.6547105394471
"199-K-233","Trend_Summary",0.173504054142034,NA,NA,NA,5,79,4,4,-3.86698468866764
"199-K-234","Trend_Summary",9.67121538575366e-06,NA,NA,NA,76,31,4,4,14.577808163942
"199-K-235","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-236","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-238","Trend_Summary",3.47472329442766e-06,NA,NA,NA,32,23,4,4,59.8954307610483
"199-K-239","Trend_Summary",0.000304012174552226,NA,NA,NA,10,15,4,4,-0.818903011493831
"199-K-240","Trend_Summary",0,NA,NA,NA,362,89,4,4,18.0859865871605
"199-K-242","Trend_Summary",0.112291815313608,NA,NA,NA,3,10,4,4,15.7731821450672
"199-K-31","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-32A","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-32B","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-34","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-36","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-K-37","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36-M","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38-M","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43-M","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45-M","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47-D","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47-M","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"48-M","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"50-M","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"52-D","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"54-M","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"699-100-43B","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"699-101-48B","Trend_Summary",NA,NA,NA,NA,NA,0,1,1,NA
"699-73-61","Trend_Summary",NA,NA,NA,NA,NA,NA,1,1,NA
"699-88-41","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"699-88-41A","Trend_Summary",7.14138415069954e-10,NA,NA,NA,11,4,4,4,-11.7445319482517
"699-89-35","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"699-90-37B","Trend_Summary",0.00139768719739997,NA,NA,NA,10,37,4,4,94.2813699234186
"699-93-37A","Trend_Summary",0.000180876230937321,NA,NA,NA,10,22,4,4,25.1373923124471
"699-94-41","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"699-94-43","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"699-95-45","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"699-95-45C","Trend_Summary",NA,NA,NA,NA,NA,NA,1,1,NA
"699-95-46","Trend_Summary",NA,NA,NA,NA,NA,NA,1,1,NA
"699-95-48","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"699-95-48B","Trend_Summary",5.6727428164316e-05,NA,NA,NA,11,12,4,4,-13.3431325453768
"699-95-48C","Trend_Summary",0.000742784602692059,NA,NA,NA,11,12,4,4,-89.9979391372656
